Subject,Subject Desc,Course Number,Title,Academic Period,Academic Period Desc,Section,CRN,Instructor,A,A-,A+,AU,B,B-,B+,C,C-,C+,D,D-,D+,E,F,I,N,NS,P,PI,S,SI,U,W,WF,WN,
,,,,,,2,18493,"Borwankar, Sameer Madhav",34.80%,4.30%,4.30%,,15.20%,4.30%,21.70%,2.20%,,6.50%,,,2.20%,,,,,,,,,,,4.30%,,,
,,,,,,3,22565,"Borwankar, Sameer Madhav",40.00%,10.00%,6.00%,,22.00%,4.00%,8.00%,4.00%,,4.00%,,,2.00%,,,,,,,,,,,,,,
,,,,,,4,54097,"Wang, Yang",6.00%,14.00%,,,28.00%,20.00%,24.00%,4.00%,2.00%,2.00%,,,,,,,,,,,,,,,,,
,,,,,,5,17209,"Wang, Yang",12.00%,12.00%,,,20.00%,12.00%,16.00%,4.00%,6.00%,18.00%,,,,,,,,,,,,,,,,,
,,,,,,6,17211,"Ding, Jianing",18.00%,18.00%,8.00%,,16.00%,,36.00%,4.00%,,,,,,,,,,,,,,,,,,,
,,38800,Python For Business,202320,Spring 2023,1,25062,"Armstrong, Brian S.",17.10%,7.30%,17.10%,,7.30%,4.90%,12.20%,17.10%,,4.90%,,,,,2.40%,,,,,,,,,9.80%,,,
,,40100,Krannert Exec Forum,202320,Spring 2023,1,22574,"Underwood, Lou M.",16.80%,,43.00%,0.90%,7.50%,5.60%,7.50%,7.50%,0.90%,5.60%,0.90%,0.90%,,,1.90%,,,,,,,,,0.90%,,,
,,40500,Six Sigma And Quality,202320,Spring 2023,1,17212,"Tang, Jen",32.40%,14.70%,,,14.70%,11.80%,14.70%,8.80%,2.90%,,,,,,,,,,,,,,,,,,
,,41100,Investments Management,202320,Spring 2023,1,22576,"Silva, Dejanir H.",30.90%,10.90%,21.80%,,7.30%,12.70%,9.10%,,1.80%,1.80%,,,1.80%,,,,,,,,,,,1.80%,,,
,,,,,,2,22578,"Silva, Dejanir H.",29.40%,23.50%,9.80%,,3.90%,7.80%,17.60%,,2.00%,3.90%,,,,,2.00%,,,,,,,,,,,,
,,,,,,3,19300,"Liu, Ping",18.40%,20.40%,2.00%,,14.30%,8.20%,22.40%,6.10%,2.00%,2.00%,,,,,,,,,,,,,,4.10%,,,
,,,,,,4,22955,"Liu, Ping",11.80%,8.80%,2.90%,,29.40%,2.90%,29.40%,,5.90%,5.90%,,,,,,2.90%,,,,,,,,,,,
,,41150,Futures And Options,202320,Spring 2023,1,22726,"Boquist, Alexander W.",11.50%,14.80%,,,29.50%,13.10%,21.30%,3.30%,,3.30%,,,,,,,,,,,,,,3.30%,,,
,,41200,Financial Institutions,202320,Spring 2023,1,13709,"Baeza, Phillip G.",18.30%,20.00%,,,18.30%,5.00%,18.30%,10.00%,5.00%,5.00%,,,,,,,,,,,,,,,,,
,,,,,,2,13710,"Baeza, Phillip G.",30.50%,27.10%,,,6.80%,15.30%,15.30%,1.70%,1.70%,1.70%,,,,,,,,,,,,,,,,,
,,,Financial Institutions-Honors,202320,Spring 2023,2,13710,"Baeza, Phillip G.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,41250,Fixed Income Securities,202320,Spring 2023,1,19301,"Atmaz, Adem",10.40%,25.00%,,,12.50%,6.30%,37.50%,,,4.20%,,,,,2.10%,,,,,,,,,2.10%,,,
,,,,,,2,19302,"Zeng, Lulu",12.50%,12.50%,12.50%,,14.60%,8.30%,18.80%,6.30%,4.20%,8.30%,,,,,2.10%,,,,,,,,,,,,
,,41300,Corporate Finance,202320,Spring 2023,1,22581,"Brown, Craig",16.00%,6.00%,8.00%,,22.00%,4.00%,18.00%,10.00%,6.00%,6.00%,2.00%,,,,,,,,,,,,,2.00%,,,
,,,,,,4,27023,"Nguyen, Ha D.",19.60%,10.90%,15.20%,,17.40%,,15.20%,6.50%,4.30%,4.30%,2.20%,,,,,,,,,,,,,4.30%,,,
,,,,,,5,27024,"Nguyen, Ha D.",28.60%,20.40%,10.20%,,10.20%,6.10%,8.20%,2.00%,4.10%,6.10%,,,,,,,,,,,,,,4.10%,,,
,,,Corporate Finance-Honors,202320,Spring 2023,5,27024,"Nguyen, Ha D.",,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,
,,41310,Financial Modeling,202320,Spring 2023,1,25004,"Zeng, Lulu",12.70%,32.70%,3.60%,,12.70%,9.10%,10.90%,7.30%,1.80%,7.30%,,,,,,,,,,,,,,1.80%,,,
,,,,,,2,25005,"Zeng, Lulu",11.80%,47.10%,5.90%,,11.80%,5.90%,,11.80%,5.90%,,,,,,,,,,,,,,,,,,
,,,,,,3,13714,"Zeng, Lulu",12.80%,30.80%,,,12.80%,5.10%,10.30%,10.30%,2.60%,12.80%,,,,,,,,,,,,,,2.60%,,,
,,,Financial Modeling-Honors,202320,Spring 2023,2,25005,"Zeng, Lulu",,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,13714,"Zeng, Lulu",,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,41350,Venture Capital,202320,Spring 2023,1,19320,"D'Almeida, Fabricio R.",19.70%,21.30%,4.90%,,6.60%,8.20%,21.30%,11.50%,3.30%,1.60%,,,,,,,,,,,,,,1.60%,,,
,,,,,,2,19321,"D'Almeida, Fabricio R.",27.10%,11.90%,1.70%,,18.60%,5.10%,16.90%,8.50%,3.40%,6.80%,,,,,,,,,,,,,,,,,
,,,Venture Capital-Honors,202320,Spring 2023,1,19320,"D'Almeida, Fabricio R.",,,,,100.00%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,19321,"D'Almeida, Fabricio R.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,41500,Intl Financial Mgmt,202320,Spring 2023,1,14477,"Brown, Craig",3.60%,16.40%,5.50%,,18.20%,10.90%,9.10%,12.70%,10.90%,9.10%,1.80%,,,,,,,,,,,,,1.80%,,,
,,,,,,3,16174,"Faccio, Mara",27.80%,16.70%,,,14.80%,16.70%,20.40%,1.90%,,,,,,,,,,,,,,,,1.90%,,,
,,,,,,4,13719,"Faccio, Mara",12.50%,19.60%,1.80%,,23.20%,14.30%,19.60%,1.80%,,3.60%,,,,,,,,,,,,,,3.60%,,,
,,42110,Marketing Analytics,202320,Spring 2023,1,16240,"Reeder, James C.",13.20%,18.40%,10.50%,,15.80%,10.50%,18.40%,5.30%,2.60%,5.30%,,,,,,,,,,,,,,,,,
,,42210,International Marketing,202320,Spring 2023,1,16444,"Allred, Chad R.",12.00%,20.00%,,,34.00%,12.00%,22.00%,,,,,,,,,,,,,,,,,,,,
,,,,,,2,16445,"Allred, Chad R.",8.00%,30.00%,,,30.00%,,32.00%,,,,,,,,,,,,,,,,,,,,
,,42300,New Product Developmt,202320,Spring 2023,1,19409,"Robinson, William T.",6.70%,26.70%,,,20.00%,3.30%,20.00%,6.70%,3.30%,13.30%,,,,,,,,,,,,,,,,,
,,,,,,2,19411,"Robinson, William T.",17.50%,15.00%,2.50%,,15.00%,2.50%,40.00%,5.00%,,,2.50%,,,,,,,,,,,,,,,,
,,42500,Marketing Research,202320,Spring 2023,1,10910,"Allred, Chad R.",14.60%,22.00%,,,19.50%,,34.10%,2.40%,,4.90%,,,,,,,,,,,,,,2.40%,,,
,,42710,Digital Marketing Strategy,202320,Spring 2023,1,16448,"Lee, Jinsuh",21.30%,23.40%,2.10%,,17.00%,8.50%,12.80%,6.40%,2.10%,6.40%,,,,,,,,,,,,,,,,,
,,,,,,2,19414,"Lee, Jinsuh",2.30%,16.30%,,,11.60%,14.00%,23.30%,2.30%,11.60%,16.30%,2.30%,,,,,,,,,,,,,,,,
,,43000,Professional Selling,202320,Spring 2023,1,14395,"Downey, Laura A.",72.00%,,,,24.00%,,,4.00%,,,,,,,,,,,,,,,,,,,
,,43700,Social Media Marketing,202320,Spring 2023,1,17213,"Lee, Jinsuh",18.20%,36.40%,3.00%,,15.20%,3.00%,15.20%,,,9.10%,,,,,,,,,,,,,,,,,
,,43800,Pricing Strategies,202320,Spring 2023,1,17214,"Rossi, Federico",36.40%,12.10%,,,15.20%,6.10%,27.30%,,,,,,,,3.00%,,,,,,,,,,,,
,,43901,Real Estate Inv & Dev,202320,Spring 2023,1,13667,"Eriksen, Michael D.",41.20%,11.80%,,,29.40%,5.90%,5.90%,,,5.90%,,,,,,,,,,,,,,,,,
,,44301,Management Of Human Resources,202320,Spring 2023,1,11952,"Williams, Henry E.",38.50%,19.80%,1.00%,,10.40%,4.20%,17.70%,3.10%,,2.10%,1.00%,,,,1.00%,1.00%,,,,,,,,,,,
,,,,,,2,13444,"Williams, Henry E.",46.00%,12.00%,5.00%,,8.00%,6.00%,17.00%,3.00%,,2.00%,,1.00%,,,,,,,,,,,,,,,
,,44362,Leadership & Org Change,202320,Spring 2023,1,10871,"Zipay, Katelyn P.",51.70%,17.20%,,,6.90%,3.40%,20.70%,,,,,,,,,,,,,,,,,,,,
,,,,,,2,10872,"Zipay, Katelyn P.",38.50%,34.60%,,,3.80%,,7.70%,,7.70%,,,,,,7.70%,,,,,,,,,,,,
,,44428,Human Resources Mgmt,202320,Spring 2023,1,11812,"Isbell, Kellie A.",24.60%,41.00%,6.60%,,4.90%,4.90%,13.10%,1.60%,,3.30%,,,,,,,,,,,,,,,,,
,,,,,,2,13446,"Stevenson, Julia M.",9.70%,23.70%,5.40%,,15.10%,14.00%,15.10%,2.20%,3.20%,3.20%,1.10%,1.10%,4.30%,,2.20%,,,,,,,,,,,,
,,44429,Talent Management,202320,Spring 2023,1,15282,"Chupp, Brian K.",24.10%,1.90%,7.40%,,22.20%,3.70%,16.70%,13.00%,1.90%,,1.90%,1.90%,1.90%,,,,,,,,,,,3.70%,,,
,,44431,Compensation: Total Rewards,202320,Spring 2023,1,19327,"Ying, Jonathan G.",8.70%,4.30%,,,30.40%,4.30%,,13.00%,17.40%,17.40%,,,4.30%,,,,,,,,,,,,,,
,,44433,Leading And Working In Teams,202320,Spring 2023,1,16251,"Isbell, Kellie A.",20.30%,3.10%,64.10%,,3.10%,1.60%,6.30%,,,,,,,,,,,,,,,,,1.60%,,,
,,44690,Negotiation & Decision Making,202320,Spring 2023,1,25195,"Roper, Carolyn D.",21.20%,24.20%,30.30%,,9.10%,6.10%,9.10%,,,,,,,,,,,,,,,,,,,,
,,,,,,2,25196,"Roper, Carolyn D.",11.80%,35.30%,26.50%,,5.90%,8.80%,11.80%,,,,,,,,,,,,,,,,,,,,
,,44710,Competitive Strategy,202320,Spring 2023,1,25123,"Burr, John F.",6.50%,8.70%,,,47.80%,8.70%,13.00%,4.30%,4.30%,6.50%,,,,,,,,,,,,,,,,,
,,,Competitive Strategy-Honors,202320,Spring 2023,1,25123,"Burr, John F.",,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,
,,45200,Manufact Strat & Process Innov,202320,Spring 2023,1,20664,"Brush, Thomas H.",29.40%,11.80%,,,11.80%,17.60%,23.50%,,,5.90%,,,,,,,,,,,,,,,,,
,,45500,Legal Bkgrnd Bus I,202320,Spring 2023,1,22600,"Williams, Randy J.",7.70%,13.80%,,,26.20%,18.50%,15.40%,6.20%,3.10%,6.20%,,,,,1.50%,,,,,,,,,1.50%,,,
,,,,,,2,24961,"Williams, Randy J.",3.90%,7.40%,,,30.00%,21.20%,20.20%,4.40%,0.50%,7.40%,0.50%,0.50%,,,1.50%,,,,,,,,,2.50%,,,
,,45600,Legal Foundatns Bus II,202320,Spring 2023,1,22602,"Harper, Cecelia N.",23.50%,17.60%,,,20.60%,2.90%,14.70%,,,14.70%,,,2.90%,,2.90%,,,,,,,,,,,,
,,45900,International Mangemnt,202320,Spring 2023,1,17216,"Chiu, Wan Ting",,17.10%,25.70%,,17.10%,2.90%,25.70%,5.70%,,5.70%,,,,,,,,,,,,,,,,,
,,,,,,2,17219,"Chiu, Wan Ting",,25.70%,25.70%,,11.40%,11.40%,14.30%,5.70%,,5.70%,,,,,,,,,,,,,,,,,
,,46300,Supply Chain Analytics,202320,Spring 2023,1,16318,"Haskell, William B.",18.00%,42.00%,,,14.00%,10.00%,16.00%,,,,,,,,,,,,,,,,,,,,
,,,,,,2,16319,"Haskell, William B.",26.50%,42.90%,,,16.30%,4.10%,10.20%,,,,,,,,,,,,,,,,,,,,
,,46400,Logistics: Concepts & Models,202320,Spring 2023,1,23844,"Senicheva, Olga R.",19.20%,26.90%,3.80%,,19.20%,15.40%,3.80%,,,11.50%,,,,,,,,,,,,,,,,,
,,46501,Strategic Sourcing,202320,Spring 2023,1,21279,"Pang, Zhan",26.90%,15.40%,,,19.20%,15.40%,19.20%,,,,3.80%,,,,,,,,,,,,,,,,
,,46600,Project Management,202320,Spring 2023,1,23846,"Senicheva, Olga R.",22.40%,12.20%,2.00%,,10.20%,24.50%,20.40%,2.00%,2.00%,4.10%,,,,,,,,,,,,,,,,,
,,46800,Supply Chain Technology,202320,Spring 2023,2,25125,"Senicheva, Olga R.",19.00%,23.80%,,19.00%,9.50%,,14.30%,,,9.50%,,,,,,,,,,,,,,4.80%,,,
,,47200,Adv Spreadsheet Mod & Sim,202320,Spring 2023,1,12447,"Nguyen, Thanh T.",14.30%,10.20%,,,26.50%,16.30%,22.40%,6.10%,2.00%,,,,,,,,,,,,,,,2.00%,,,
,,,,,,2,12446,"Nguyen, Thanh T.",12.20%,18.40%,,,26.50%,34.70%,8.20%,,,,,,,,,,,,,,,,,,,,
,,47300,Data Mining,202320,Spring 2023,1,18575,"Zhu, Zhiwei",29.20%,20.80%,,,14.60%,12.50%,16.70%,,,6.30%,,,,,,,,,,,,,,,,,
,,47400,Predictive Analytics,202320,Spring 2023,1,28954,"Lim, Tongseok",10.70%,21.40%,17.90%,,25.00%,14.30%,10.70%,,,,,,,,,,,,,,,,,,,,
,,47900,Data Visualization,202320,Spring 2023,3,28196,"Wei, Zaiyan",12.50%,12.50%,,,22.90%,14.60%,8.30%,,,29.20%,,,,,,,,,,,,,,,,,
,,,,,,4,28198,"Wei, Zaiyan",,15.40%,,,20.50%,17.90%,33.30%,2.60%,,10.30%,,,,,,,,,,,,,,,,,
,,,Data Visualization-Honors,202320,Spring 2023,3,28196,"Wei, Zaiyan",,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,48400,Mgmt Entrepreneurial Ventures,202320,Spring 2023,1,22699,"Chakravarty, Sugato",34.80%,13.00%,,,26.10%,,8.70%,4.30%,,13.00%,,,,,,,,,,,,,,,,,
,,49000,Leadership Sprint Intensive I,202320,Spring 2023,10,29627,"Alge, Bradley J.",94.70%,,,,,,,,,,,,,,,5.30%,,,,,,,,,,,
,,,Transfrm Lead Journ Gettysburg,202320,Spring 2023,8,29499,"Alge, Bradley J.",,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,49600,Mgmt Consult Practicum,202320,Spring 2023,1,13793,"Chiu, Wan Ting",,13.60%,54.50%,,,,22.70%,4.50%,4.50%,,,,,,,,,,,,,,,,,,
,,50300,Advanced Accounting,202320,Spring 2023,1,57688,"Kregar, Michael",25.00%,10.00%,10.00%,,5.00%,5.00%,25.00%,,,20.00%,,,,,,,,,,,,,,,,,
,,,,,,2,57689,"Kregar, Michael",12.80%,12.80%,2.60%,,7.70%,7.70%,15.40%,15.40%,10.30%,12.80%,,,,,,,,,,,,,,2.60%,,,
,,50400,Tax Accounting,202320,Spring 2023,2,22617,"Laux, Rick C.",27.80%,5.60%,,,11.10%,2.80%,16.70%,13.90%,5.60%,,,,13.90%,,,,,,,,,,,,2.80%,,
,,,,,,3,19879,"Laux, Rick C.",14.60%,9.80%,2.40%,,12.20%,2.40%,17.10%,7.30%,7.30%,9.80%,2.40%,2.40%,2.40%,,2.40%,,2.40%,,,,,,,4.90%,,,
,,50500,Mgmt Accounting II,202320,Spring 2023,1,22618,"Sorensen, R S.",26.50%,17.60%,5.90%,,16.20%,10.30%,8.80%,7.40%,,7.40%,,,,,,,,,,,,,,,,,
,,50600,Auditing,202320,Spring 2023,1,68691,"Conroy, Paula J.",13.90%,,75.00%,,,2.80%,5.60%,,2.80%,,,,,,,,,,,,,,,,,,
,,,,,,2,22620,"Conroy, Paula J.",4.90%,7.30%,73.20%,,4.90%,2.40%,2.40%,2.40%,,,,,2.40%,,,,,,,,,,,,,,
,,51100,Fixed Income Security,202320,Spring 2023,1,15216,"Atmaz, Adem",4.00%,16.00%,24.00%,,24.00%,12.00%,20.00%,,,,,,,,,,,,,,,,,,,,
,,52610,Data-Driven Marketing,202320,Spring 2023,1,25389,"Huang, Guofang",21.60%,11.80%,,,21.60%,7.80%,37.30%,,,,,,,,,,,,,,,,,,,,
,,52900,Marketing Consulting,202320,Spring 2023,1,16927,"Lee, Jinsuh",16.00%,68.00%,,,12.00%,4.00%,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,13742,"Liu, Qiang",23.80%,52.40%,,,,,23.80%,,,,,,,,,,,,,,,,,,,,
,,53600,Emplymt & Dvrsty Law For Mgrs,202320,Spring 2023,1,20497,"Putman, Cara C.",13.60%,18.20%,,,50.00%,,18.20%,,,,,,,,,,,,,,,,,,,,
,,53700,Persuasive Communications,202320,Spring 2023,1,17260,"Roberson, Kasie M.",,13.00%,,,17.40%,,69.60%,,,,,,,,,,,,,,,,,,,,
,,,,,,2,17261,"Roberson, Kasie M.",,21.70%,,,8.70%,,69.60%,,,,,,,,,,,,,,,,,,,,
,,54400,Database Mgmt Systems,202320,Spring 2023,1,10291,"Dehondt, Gerald R.",31.70%,20.00%,3.30%,,11.70%,6.70%,15.00%,8.30%,,1.70%,,,,,,,,,,,,,,1.70%,,,
,,,Database Mgmt Systems-Honors,202320,Spring 2023,1,10291,"Dehondt, Gerald R.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,54500,Systems Development,202320,Spring 2023,2,25128,"Dehondt, Gerald R.",24.30%,10.80%,,,18.90%,5.40%,16.20%,10.80%,2.70%,5.40%,2.70%,2.70%,,,,,,,,,,,,,,,
,,56400,Mgmt Service Operation,202320,Spring 2023,1,18636,"Lu, Feng",18.50%,22.20%,14.80%,,11.10%,7.40%,25.90%,,,,,,,,,,,,,,,,,,,,
,,56800,Supply Chain Analytics,202320,Spring 2023,1,18645,"Haskell, William B.",16.70%,43.80%,,,8.30%,2.10%,27.10%,2.10%,,,,,,,,,,,,,,,,,,,
,,56900,Ethical And Sustainable SCM,202320,Spring 2023,1,17607,"Esenduran, Gokce",27.30%,36.40%,,,27.30%,9.10%,,,,,,,,,,,,,,,,,,,,,
,,57000,Spreadsht Modl & Simul,202320,Spring 2023,1,65512,"Li, Yanjun",23.30%,30.00%,,,23.30%,,23.30%,,,,,,,,,,,,,,,,,,,,
,,,,,,2,65511,"Li, Yanjun",12.50%,10.40%,4.20%,,31.30%,,39.60%,,,,,,,,,,,,,,,,,2.10%,,,
,,,,,,3,65510,"Li, Yanjun",20.40%,18.40%,2.00%,,22.40%,,36.70%,,,,,,,,,,,,,,,,,,,,
,,57300,Opt Mod With Spreadsheets,202320,Spring 2023,1,19884,"Tawarmalani, Mohit",30.40%,4.30%,8.70%,,47.80%,4.30%,4.30%,,,,,,,,,,,,,,,,,,,,
,,59000,Cloud Computing I,202320,Spring 2023,121,24938,"Lanham, Matthew A.",61.90%,19.00%,,,,,4.80%,,4.80%,,,,,,,,,,,,,,,9.50%,,,
,,,Communication And Persuasion,202320,Spring 2023,74,25012,"Woodson, Aryca P.",20.00%,40.00%,4.00%,,4.00%,4.00%,28.00%,,,,,,,,,,,,,,,,,,,,
,,,,,,75,25013,"Woodson, Aryca P.",43.50%,47.80%,,,,,8.70%,,,,,,,,,,,,,,,,,,,,
,,,,,,76,25014,"Woodson, Aryca P.",44.00%,44.00%,,,4.00%,4.00%,4.00%,,,,,,,,,,,,,,,,,,,,
,,,,,,77,25016,"Woodson, Aryca P.",41.70%,29.20%,12.50%,,,4.20%,12.50%,,,,,,,,,,,,,,,,,,,,
,,,Consumer Behavior & Mktg,202320,Spring 2023,1,19400,"Zhu, Ting",6.10%,39.40%,,,21.20%,,30.30%,3.00%,,,,,,,,,,,,,,,,,,,
,,,Customer Analytics,202320,Spring 2023,3,18161,"Zhu, Ting",2.90%,29.40%,5.90%,,32.40%,,26.50%,,,,,,,,,,,,,,,,,2.90%,,,
,,,Machine Learning,202320,Spring 2023,103,25425,"Zhang, Yichen",8.70%,52.20%,,,8.70%,,26.10%,,,,,,,,,,,,,,,,,4.30%,,,
,,,Practicum In Taxation,202320,Spring 2023,4,66114,"Godwin, Roger T.",42.90%,28.60%,9.50%,,4.80%,,14.30%,,,,,,,,,,,,,,,,,,,,
,,,Student Managed Venture Fund,202320,Spring 2023,12,18655,"D'Almeida, Fabricio R.",76.90%,15.40%,,,,,7.70%,,,,,,,,,,,,,,,,,,,,
,,59100,Launching Global Leaders,202320,Spring 2023,1,17283,"Chupp, Brian K.",,,,,,,,,,,,,,,,,,,,,96.30%,,,3.70%,,,
,,59200,Contracts For Managers,202320,Spring 2023,1,25039,"Fisher, Clifford D.",26.70%,33.30%,13.30%,,20.00%,,,,,,,,,,,,,,,,,,,6.70%,,,
,,61500,Intern Financial Mgmt,202320,Spring 2023,1,19274,"Brown, Craig",12.00%,36.00%,12.00%,,4.00%,,36.00%,,,,,,,,,,,,,,,,,,,,
,,63350,Accounting Data Analytics,202320,Spring 2023,1,24911,"Janes, Troy D.",70.00%,30.00%,,,,,,,,,,,,,,,,,,,,,,,,,
,,63410,Communications For Accountnt,202320,Spring 2023,1,24913,"Pruim, Douglas E.",14.30%,47.60%,,,9.50%,4.80%,23.80%,,,,,,,,,,,,,,,,,,,,
,,,,,,2,14045,"Pruim, Douglas E.",20.00%,36.00%,4.00%,,12.00%,,28.00%,,,,,,,,,,,,,,,,,,,,
,,63650,Accounting Ethics,202320,Spring 2023,1,14050,"Putman, Cara C.",17.60%,32.40%,,,38.20%,,11.80%,,,,,,,,,,,,,,,,,,,,
,,63750,Advanced Taxation,202320,Spring 2023,1,14053,"Laux, Rick C.",60.60%,12.10%,,,15.20%,3.00%,9.10%,,,,,,,,,,,,,,,,,,,,
,,63800,Pricing Strategy & Analysis,202320,Spring 2023,1,19405,"Rossi, Federico",9.80%,31.70%,,,34.10%,4.90%,19.50%,,,,,,,,,,,,,,,,,,,,
,,,,,,2,18709,"Rossi, Federico",30.40%,17.40%,,,21.70%,6.50%,21.70%,,,,,,,,,,,,,,,,,2.20%,,,
,,63850,Public Co Report & Regul,202320,Spring 2023,1,14055,"Conroy, Paula J.",17.60%,41.20%,23.50%,,,,11.80%,,,5.90%,,,,,,,,,,,,,,,,,
,,63900,Adv Audit & Prof Practice,202320,Spring 2023,1,14056,"Janes, Troy D.",50.00%,19.60%,,,,,30.40%,,,,,,,,,,,,,,,,,,,,
,,64100,Options And Futures,202320,Spring 2023,1,14068,"Boquist, Alexander W.",14.30%,17.90%,,,39.30%,,21.40%,,,,,,,,,,,,,,,,,7.10%,,,
,,64400,Vnture Captl&Invst Bnk,202320,Spring 2023,1,25429,"D'Almeida, Fabricio R.",28.60%,21.40%,7.10%,,14.30%,10.70%,17.90%,,,,,,,,,,,,,,,,,,,,
,,64700,Financial Engineering,202320,Spring 2023,1,18755,"Atmaz, Adem",14.80%,22.20%,3.70%,,18.50%,11.10%,29.60%,,,,,,,,,,,,,,,,,,,,
,,65000,Strategic Management I,202320,Spring 2023,1,65412,"Ozmel Yavuz, Umit",14.30%,38.10%,,,42.90%,,,,,,,,,,,,,,,,,,,4.80%,,,
,,,,,,2,22702,"Ozmel Yavuz, Umit",14.30%,28.60%,,,28.60%,7.10%,21.40%,,,,,,,,,,,,,,,,,,,,
,,,,,,5,14070,"Gibbs, Ralph A.",33.90%,21.00%,9.70%,,6.50%,3.20%,17.70%,,,,1.60%,,,,,,,,,,,,,6.50%,,,
,,65360,Industrial Relations I,202320,Spring 2023,1,14093,"Dworkin, James B.",18.20%,36.40%,,,45.50%,,,,,,,,,,,,,,,,,,,,,,
,,65430,Negotiatns In Organztn,202320,Spring 2023,1,26004,"Dineen, Brian R.",23.30%,23.30%,,,16.70%,10.00%,23.30%,,,3.30%,,,,,,,,,,,,,,,,,
,,,,,,2,26005,"Dineen, Brian R.",13.30%,26.70%,,,13.30%,13.30%,16.70%,3.30%,,10.00%,,,,,,,,,,,,,,3.30%,,,
,,65470,Talent Management,202320,Spring 2023,1,14120,"Chupp, Brian K.",34.50%,24.10%,,,24.10%,3.40%,13.80%,,,,,,,,,,,,,,,,,,,,
,,65500,Competitive Strategy,202320,Spring 2023,1,23478,"Chiu, Wan Ting",,32.40%,20.60%,,17.60%,14.70%,11.80%,,,,,,,,,,,,,,,,,2.90%,,,
,,65700,Manufact Strat & Process Innov,202320,Spring 2023,1,12926,"Brush, Thomas H.",19.50%,19.50%,,,24.40%,4.90%,22.00%,,,,,,,,,,,,,,,,,9.80%,,,
,,66000,Intro To Operations Management,202320,Spring 2023,1,22721,"Lu, Feng",10.40%,14.60%,12.50%,,10.40%,12.50%,20.80%,,,4.20%,,,,,,,,,,,,,,14.60%,,,
,,,,,,2,28628,"Shi, Pengyi",22.90%,8.60%,5.70%,,25.70%,11.40%,11.40%,,5.70%,2.90%,,,,,,,,,,,,,,5.70%,,,
,,66400,Supply Chain Management,202320,Spring 2023,1,17351,"Pang, Zhan",9.10%,31.80%,,,13.60%,,36.40%,,,9.10%,,,,,,,,,,,,,,,,,
,,,,,,2,17352,"Pang, Zhan",13.80%,27.60%,,,27.60%,6.90%,17.20%,,,3.40%,,,,,3.40%,,,,,,,,,,,,
,,67200,Advanced Business Analytics,202320,Spring 2023,1,17356,"Zhu, Zhiwei",6.30%,6.30%,,,37.50%,37.50%,12.50%,,,,,,,,,,,,,,,,,,,,
,,,,,,2,17357,"Zhu, Zhiwei",9.10%,33.30%,,,21.20%,6.10%,30.30%,,,,,,,,,,,,,,,,,,,,
,,,,,,3,25392,"Zhu, Zhiwei",14.00%,26.30%,,,19.30%,7.00%,33.30%,,,,,,,,,,,,,,,,,,,,
,,69000,Accounting Scandals,202320,Spring 2023,77,27233,"Janes, Troy D.",47.40%,23.70%,,,10.50%,,18.40%,,,,,,,,,,,,,,,,,,,,
,,,Adv Financial Analytics,202320,Spring 2023,84,17594,"Baeza, Phillip G.",46.20%,7.70%,,,23.10%,,23.10%,,,,,,,,,,,,,,,,,,,,
,,,Change Management,202320,Spring 2023,48,17370,"Dunford, Benjamin B.",15.20%,21.20%,,3.00%,21.20%,,36.40%,,,3.00%,,,,,,,,,,,,,,,,,
,,,,,,83,16557,"Dunford, Benjamin B.",17.10%,20.00%,,,22.90%,,34.30%,,,2.90%,,,,,,,,,,,,,,2.90%,,,
,,,ELI Corporate Consulting,202320,Spring 2023,50,17372,"Burr, John F.",69.20%,3.80%,3.80%,,,,23.10%,,,,,,,,,,,,,,,,,,,,
,,,Industry Practicum,202320,Spring 2023,68,27120,"Wang, Yang",14.30%,57.10%,,,4.80%,,23.80%,,,,,,,,,,,,,,,,,,,,
,,,,,,B30,21686,"Lanham, Matthew A.",73.10%,7.70%,19.20%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B38,19181,"Lanham, Matthew A.",62.50%,4.20%,20.80%,,4.20%,,8.30%,,,,,,,,,,,,,,,,,,,,
,,,Total Rewards,202320,Spring 2023,86,25486,"Isbell, Kellie A.",11.10%,,88.90%,,,,,,,,,,,,,,,,,,,,,,,,
MSE,MSE-Materials Engineering,23000,Struc & Prop Of Mat,202320,Spring 2023,1,11451,"Wharry, Janelle P.",38.50%,7.40%,6.80%,0.70%,12.80%,5.40%,21.60%,2.00%,,2.70%,0.70%,,,,,,,,0.70%,,,,,0.70%,,,
